Job runs on node:
lrdn4990
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=4
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 35, 	Batch:0, 	Train Loss = 0.180382, 	Val Loss = 0.251119
Epoch 35, 	Batch:1, 	Train Loss = 0.136691, 	Val Loss = 0.251119
Epoch 35, 	Batch:2, 	Train Loss = 0.142241, 	Val Loss = 0.251119
Epoch 35, 	Batch:3, 	Train Loss = 0.135358, 	Val Loss = 0.251119
Epoch 35, 	Batch:4, 	Train Loss = 0.162136, 	Val Loss = 0.251119
Epoch 35, 	Batch:5, 	Train Loss = 0.159034, 	Val Loss = 0.251119
Epoch 35, 	Batch:6, 	Train Loss = 0.158780, 	Val Loss = 0.251119
Epoch 35, 	Batch:7, 	Train Loss = 0.162017, 	Val Loss = 0.251119
Epoch 36, 	Batch:0, 	Train Loss = 0.181075, 	Val Loss = 0.251907
Epoch 36, 	Batch:1, 	Train Loss = 0.134351, 	Val Loss = 0.251907
Epoch 36, 	Batch:2, 	Train Loss = 0.140913, 	Val Loss = 0.251907
Epoch 36, 	Batch:3, 	Train Loss = 0.133530, 	Val Loss = 0.251907
Epoch 36, 	Batch:4, 	Train Loss = 0.160688, 	Val Loss = 0.251907
Epoch 36, 	Batch:5, 	Train Loss = 0.157560, 	Val Loss = 0.251907
Epoch 36, 	Batch:6, 	Train Loss = 0.157466, 	Val Loss = 0.251907
Epoch 36, 	Batch:7, 	Train Loss = 0.160755, 	Val Loss = 0.251907
Early stop at epoch 35 for plateau


---------------------------------------------------------------------------
job finished
